"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G23460_P2",5.38423,6.02159,6.79946,7.29088,7.41811,9.2693,4.15023,6.46444,7.38158,3.04059,4.22947,3.29598,9.21089,9.02232,9.02057,8.01898,9.14151,8.41742
"AT1G23860_JC3",9.71511,9.64e-05,11.17,11.7312,12.9414,11.8247,9.51374,6.33827,14.1599,0.047591,1.66e-06,0,0.583972,0,3.64e-05,0.939033,1.37709,0.00317899
"AT1G23860_P1",12.5125,23.205,10.4983,10.5021,9.86799,7.92925,9.91363,11.2197,6.82873,18.1791,19.6998,17.588,15.7409,15.4116,15.383,14.4402,15.2624,16.699
"AT1G23890.1",4.88463,5.89542,5.6839,3.61277,5.85395,5.87677,6.57947,3.91611,4.88862,4.61032,3.67501,4.88541,4.86154,3.41611,4.67045,4.47422,5.62749,4.86818
"AT1G23890_ID1",1.52033,0.57168,1.22313,2.47896,1.28286,0.874788,0.977813,2.66809,2.31492,1.07021,0.944749,0.416127,0.885412,1.7426,0.829601,0.70463,0.729308,0.623582
"AT1G23970_P1",0.900899,1.85666,1.67791,1.64393,3.6862,2.95193,0.489926,0.0680226,0.154471,0.653416,1.48248,0.978157,0.363091,1.37368,2.64564,0,1.39629,2.65176
"AT1G23970_P2",13.1748,12.4473,13.3347,12.4422,10.1821,9.92771,11.4833,12.4711,12.3408,9.65286,11.4378,12.0316,12.9555,11.7033,8.53501,13.2573,12.5543,13.846
"AT1G24020.2",113.38,112.589,106.52,190.784,185.673,201.538,197.812,204.914,203.438,84.281,91.6851,77.8913,128.66,131.668,139.409,148.388,145.303,157.257
"AT1G24020_P1",25.773,24.9402,29.2473,77.9133,84.1386,80.625,62.3527,61.4969,63.5537,25.9437,26.4286,29.2712,39.2218,45.7987,42.0321,49.4401,51.2186,46.2436
"AT1G24070_ID14",12.0472,12.709,13.4618,15.8472,20.1149,15.353,17.2299,16.0201,11.2757,13.2651,17.5306,15.5687,8.78042,9.82509,8.87456,10.974,8.13233,10.9264
